Unnamed: 0,posted_at,Asking,Year,Length,Beam,Draft,Location,Material,Hull,Type,Cabins,Is_Mono,Is_Diesel,Is_Cutter,Is_Ketch,Is_masthead_sloop,Is_Excellent,Is_Fair,Is_Good,Is_project_boat,Motor_Type,Engine_Count,Is_Inboard,Year_Listed,Asking_Price_Adj
266,2012-11-02,3500.0,1971,26.0,8.8,4.5,North Carolina,fiberglass,monohull,daysailer,1.0,1,0,0,0,0,0,0,1,0,outboard,1,0,2012,4130.748190283719
268,2012-10-30,1000.0,1976,22.0,8.0,3.5,Maryland,fiberglass,monohull,daysailer,1.0,1,0,0,0,1,0,0,1,0,outboard,1,0,2012,1180.213768652491
270,2012-10-28,115000.0,2006,32.1,9.4,5.1,Maine,fiberglass,monohull,racer,1.0,1,1,0,0,0,1,0,0,0,inboard,1,1,2012,135724.58339503646
271,2012-10-28,129000.0,1996,34.0,10.0,5.0,Maine,fiberglass,monohull,cruiser,2.0,1,1,0,0,1,0,0,0,0,inboard,1,1,2012,152247.57615617133
275,2012-10-24,14500.0,1976,30.0,10.0,5.8,Connecticut,fiberglass,monohull,racer,1.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2012,17113.09964546112
279,2012-10-23,9000.0,1976,31.6,10.2,5.6,Maryland,fiberglass,monohull,cruiser,1.0,1,1,0,0,0,0,0,1,0,inboard,1,1,2012,10621.92391787242
281,2012-10-22,30000.0,1963,34.9,9.8,5.4,South Carolina,fiberglass,monohull,cruiser,2.0,1,0,0,0,1,0,0,1,0,inboard,1,1,2012,35406.413059574734
283,2012-10-22,2900.0,1981,24.0,8.0,4.0,New York,fiberglass,monohull,racer,2.0,1,0,0,0,1,0,0,0,0,outboard,1,0,2012,3422.619929092224
287,2012-10-20,90000.0,1998,39.0,12.11,5.4,Outside United States,fiberglass,monohull,motorsailer,3.0,1,1,0,0,0,1,0,0,0,inboard,1,1,2012,106219.2391787242
288,2012-10-20,69500.0,1962,44.0,17.0,7.0,California,fiberglass,monohull,cruiser,2.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2012,82024.85692134814
290,2012-10-20,5500.0,1970,18.6,6.3,2.7,Rhode Island,fiberglass,monohull,daysailer,1.0,1,0,0,0,1,1,0,0,0,outboard,1,0,2012,6491.175727588701
292,2012-10-18,68000.0,1981,37.0,11.9,4.2,Maryland,fiberglass,monohull,cruiser,1.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2012,80254.53626836938
293,2012-10-17,34000.0,1995,28.5,9.42,4.0,New York,fiberglass,monohull,cruiser,2.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2012,40127.26813418469
294,2012-10-16,60000.0,1980,40.0,13.0,6.0,Florida,fiberglass,monohull,cruiser,1.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2012,70812.82611914947
295,2012-10-16,8000.0,1985,24.0,7.0,5.0,Oregon,fiberglass,monohull,racer,1.0,1,0,1,0,0,0,0,1,0,outboard,1,0,2012,9441.710149219927
296,2012-10-16,95000.0,1981,50.0,14.0,6.5,Outside United States,fiberglass,monohull,cruiser,3.0,1,1,0,0,0,0,0,1,0,inboard,1,1,2012,112120.30802198664
297,2012-10-15,17000.0,1980,31.0,9.67,5.2,Outside United States,fiberglass,monohull,cruiser,1.0,1,0,0,0,1,0,0,1,0,inboard,1,1,2012,20063.634067092346
298,2012-10-15,19000.0,1980,30.0,10.4,5.2,Outside United States,fiberglass,monohull,cruiser,1.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2012,22424.06160439733
