Model,posted_at,Asking,Engine: ,Year,Length,Beam,Draft,Location,Material,Hull,Type,Rigging,Cabins,Condition
O'Day oday22,12-Jul-2018,"$6,500",1 gas outboard,1972,22',8',3',Alabama,fiberglass,monohull,cruiser,masthead sloop,1.0,good
AMF Sunfish,12-Jul-2018,$275,,1980,13',',',New York,fiberglass,monohull,daysailer,other,,fair
Pearson 32,12-Jul-2018,"$26,000",1 diesel inboard,1982,32',10.6',5.6',Michigan,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,excellent
Catalina C30 MKII,11-Jul-2018,"$20,000",1 diesel inboard,1988,30',10',4',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Catalina Capri,10-Jul-2018,"$17,900",1 gas outboard,2013,22',',',South Carolina,fiberglass,monohull,daysailer,other,1.0,excellent
Bruce Roberts Offshore,10-Jul-2018,"$55,000",1 diesel inboard,2006,39.5',12',5.8',Louisiana,fiberglass,monohull,cruiser,,1.0,good
alubat ovni 395,06-Mar-2019,"$222,000",1 diesel inboard,208,42',16',8',Outside United States,aluminum,monohull,cruiser,masthead sloop,2.0,good
XYacht X37,05-Mar-2019,"$149,000",1 diesel inboard,2005,37',13',6.5',Outside United States,fiberglass,monohull,racer/cruiser,fractional sloop,2.0,excellent
Hunter Hunter 26,05-Mar-2019,"$9,500",1 gas outboard,1994,26',11',6',Minnesota,fiberglass,monohull,cruiser,fractional sloop,0.0,excellent
Hunter 240,05-Mar-2019,"$11,750",1 gas outboard,2003,24',8.25',5.5',Illinois,fiberglass,monohull,cruiser,masthead sloop,,good
Watkins 36 CC,04-Mar-2019,"$18,000",1 diesel inboard,1982,36',10.6',4.6',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Hunter 31,04-Mar-2019,"$18,000",1 diesel inboard,1984,31',11',4',Florida,fiberglass,monohull,daysailer,masthead sloop,2.0,good
CAL CAL,04-Mar-2019,"$3,000",1 gas outboard,1986,22',8',4',Ohio,fiberglass,monohull,cruiser,,1.0,good
Jeanneau Sun Odyssey 44i,02-Mar-2019,"$192,000",1 diesel inboard,2010,44',14.25',6.73',Washington,fiberglass,monohull,cruiser,fractional sloop,3.0,good
Laguna Sloop,02-Mar-2019,"$22,000",1 diesel inboard,1984,30',10.8',4.4',California,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Com-Pac Eclipse,02-Mar-2019,"$44,900", gas outboard,2018,21',7'4',5'2',Oregon,fiberglass,monohull,daysailer,,,excellent
Hunter 39,02-Mar-2019,"$145,000",1 diesel inboard,2010,39',12 10',5',Florida,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
Lagoon Lagoon 500,01-Mar-2019,"$559,000",2 diesel inboard,2008,51',28',5',South Carolina,fiberglass,catamaran,cruiser,fractional sloop,4.0,excellent
Island Packet 38,01-Mar-2019,"$103,500",1 diesel inboard,1990,38',12',6',Outside United States,fiberglass,monohull,cruiser,cutter,,excellent
Island Trader 46ft Motor Sailer,01-Mar-2019,"$157,500",1 diesel inboard,1982,45.6',15.2',5.6',Florida,fiberglass,monohull,motorsailer,ketch,2.0,excellent
Catalina 27,28-Feb-2019,"$7,000",1 gas outboard,1979,26.5',8.83',4',California,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,good
Pearson SL 27,28-Feb-2019,"$14,260",1 diesel inboard,1988,29',9'6',3'4',Texas,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,good
Seawind 1000,28-Feb-2019,"$139,500",2 gas outboard,1996,37',19'6',3'8',Outside United States,fiberglass,catamaran,cruiser,,2.0,good
J 70 j/70,28-Feb-2019,"$35,000", gas outboard,2013,22.75',7'5',4'9',California,fiberglass,monohull,racer,,,excellent
Tayana T37,28-Feb-2019,"$50,000",1 diesel inboard,1978,37',11.6',5.5',Florida,fiberglass,monohull,cruiser,cutter,2.0,good
Hunter 28.5,28-Feb-2019,"$9,999", diesel inboard,1985,29',11',4',Florida,fiberglass,monohull,cruiser,masthead sloop,3.0,good
Hunter 38.6,28-Feb-2019,"$79,500",1 diesel inboard,2004,39',12',5',Maryland,fiberglass,monohull,cruiser,fractional sloop,2.0,good
Hunter 216,26-Feb-2019,"$7,500",0 gas outboard,2005,21.6',7.11',3.6',Florida,fiberglass,monohull,daysailer,masthead sloop,1.0,excellent
Catalina Fin Keel,25-Feb-2019,"$24,900",1 diesel inboard,1984,30',10'10',5'3',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
optimist ,25-Feb-2019,"$5,000", other inboard,,',',',Michigan,fiberglass,monohull,dinghy,,,good
Columbia 34 Mk11,25-Feb-2019,"$19,000",1 diesel inboard,1971,34',10',5'10',Outside United States,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Seafarer 34 SL,24-Feb-2019,"$16,500",1 diesel inboard,1976,34',10',5.2',New York,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,good
Beneteau Oceanis 331,24-Feb-2019,"$69,000",1 diesel inboard,2004,33.92',11.33',5.5',Ohio,fiberglass,monohull,cruiser,,2.0,good
Pearson 31,24-Feb-2019,"$27,500",1 diesel inboard,1988,31',10',4',Connecticut,fiberglass,monohull,daysailer,other,1.0,good
Hunter Vision,23-Feb-2019,"$21,000",1 diesel inboard,1989,32',11',4.5',Maryland,fiberglass,monohull,cruiser,fractional sloop,2.0,fair
Catalina 50,23-Feb-2019,"$60,000",1 diesel inboard,1991,52',15',5.5',Florida,fiberglass,monohull,cruiser,masthead sloop,4.0,good
Pearson 10M,23-Feb-2019,"$17,500",1 diesel inboard,1977,33',11',5.9',New York,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,excellent
Irwin 10/4,22-Feb-2019,"$7,500",1 diesel inboard,1976,25',10.33',2.75',Missouri,fiberglass,monohull,cruiser,masthead sloop,1.0,fair
Beneteau Oceanis 34 Platinum,22-Feb-2019,"$99,500",1 diesel inboard,2015,34',12',5.5',Florida,fiberglass,monohull,cruiser,,2.0,excellent
Irwin Center Cockpit,22-Feb-2019,"$24,900",1 diesel inboard,1977,37',11',4',Florida,fiberglass,monohull,cruiser,ketch,3.0,good
Custom Samson Marine C-Mist 32,22-Feb-2019,"$10,000",1 diesel inboard,1977,32',11',5',Massachusetts,other,monohull,cruiser,cutter,2.0,good
Rock Hall Cat Boat Sold,21-Feb-2019,"$2,995",,1995,11',5',1',New Jersey,wood,monohull,daysailer,cat boat,0.0,excellent
Homemade Pocketship,20-Feb-2019,"$8,000",1 gas outboard,2010,17',6',3',Massachusetts,fiberglass,monohull,daysailer,other,1.0,good
Pacific Seacraft Flica,20-Feb-2019,"$25,000",1 gas outboard,1982,20',',3.5',New York,fiberglass,monohull,cruiser,masthead sloop,1.0,good
beneteau first,18-Feb-2019,"$50,000",1 diesel inboard,1986,35',',',Outside United States,fiberglass,monohull,cruiser,fractional sloop,3.0,fair
Beneteau Oceanis 523 Clipper,18-Feb-2019,"$215,000",1 diesel inboard,2007,52',16',7',Outside United States,fiberglass,monohull,cruiser,fractional sloop,4.0,good
Far East Yachts Mariner 40,18-Feb-2019,"$49,000",1 diesel inboard,1967,40',12',6',Outside United States,wood,monohull,cruiser,ketch,2.0,excellent
Catalina Catalina 14.2 Expo,17-Feb-2019,"$4,000",1 other outboard,2012,15.2',6'2',3'6',Texas,fiberglass,monohull,daysailer,cat boat,0.0,good
Proformance Gemini 105M,17-Feb-2019,"$65,000",1 diesel inboard,1997,34',14',2.5',Mississippi,fiberglass,catamaran,daysailer,cat boat,3.0,good
SNM Contoy 65,17-Feb-2019,"$490,000",2 diesel inboard,2019,65',36',3',Outside United States,fiberglass,catamaran,daysailer,cat boat,2.0,new
 Trismus 32,17-Feb-2019,"$12,000",1 diesel inboard,1987,32',9',3',Outside United States,fiberglass,monohull,cruiser,cutter,2.0,good
Endeavour Yachts E 32 Partnership,16-Feb-2019,"$7,500",1 diesel inboard,1979,32',10',4.2',North Carolina,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Capital Yachts Newport 30 Mk III,15-Feb-2019,"$17,000", diesel inboard,1982,30',9',5',California,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,good
Irwin Citation,15-Feb-2019,"$23,000",1 diesel inboard,1983,34.25',11.3',',California,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,good
catalina c30,15-Feb-2019,"$12,000",1 diesel inboard,1979,30',',4.25',Florida,fiberglass,monohull,cruiser,fractional sloop,,good
Tartan Sloop,14-Feb-2019,"$45,000", diesel inboard,1982,37',11',4',Mississippi,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,good
Cabo Rico 42.5,14-Feb-2019,"$450,000",1 diesel inboard,2005,46.5',12.7',5' 3',Florida,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
Gordon Douglas Flying Scot,13-Feb-2019,"$4,500",,1979,19',7',4',North Carolina,fiberglass,monohull,dinghy,masthead sloop,,good
Jeanneau 371 Owners Version,13-Feb-2019,"$75,000",1 diesel inboard,1995,37.5',12',5'4',Outside United States,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Canadian Sailcraft 27,13-Feb-2019,"$8,000",,1980,27',9.5',5.2',California,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
COLUMBIA MARK II  / SLOOP,12-Feb-2019,"$35,000",1 gas inboard,1971,34',10',6',Missouri,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
cataina dinette version,12-Feb-2019,"$3,500",1 gas outboard,1980,25',8',4',New York,fiberglass,monohull,daysailer,fractional sloop,1.0,excellent
Home Built  Chuck Paine Design Carol,12-Feb-2019,"$4,500",1 gas outboard,1986,24'4',',',Maine,fiberglass,monohull,cruiser,,,excellent
Burkhard Bader Kiel Germany K-26,11-Feb-2019,"$18,000",2 gas outboard,1988,27',18',1.5',,fiberglass,trimaran,daysailer,cutter,,fair
Hunter Hunter30T,10-Feb-2019,"$24,000",1 diesel inboard,1991,30',10.6',4.2',Illinois,fiberglass,monohull,cruiser,fractional sloop,3.0,good
catalina 27,09-Feb-2019,"$10,000",1 diesel inboard,1984,27',9',4',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Pearson Vanguard,09-Feb-2019,"$15,500", diesel inboard,1963,32.6',9.4',4.8',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Nauticat Siltala Yachts Finland,08-Feb-2019,"$249,000",1 diesel inboard,1997,42',13.1',5.8',,fiberglass,monohull,cruiser,cutter,2.0,excellent
Hunter 44 DS,08-Feb-2019,"$155,000",1 diesel inboard,2006,44',14',5.6',Florida,fiberglass,monohull,cruiser,,2.0,excellent
Hanse 315,07-Feb-2019,"$172,000",1 gas inboard,2017,31',10.5',5.5',California,fiberglass,monohull,racer/cruiser,,2.0,excellent
McLaughlin Advanced Racer Opti,06-Feb-2019,"$2,850",,2012,7',',',Virginia,fiberglass,monohull,,,,excellent
Vanguard Laser,06-Feb-2019,"$3,000",,2011,14',',',Virginia,fiberglass,monohull,dinghy,,,excellent
HUNTER 23.5,06-Feb-2019,"$6,900",1 gas outboard,1996,23.5',8.4',1.5',Florida,fiberglass,monohull,cruiser,masthead sloop,,excellent
Pacific Boats Olson 30,05-Feb-2019,"$10,000",1 gas outboard,1980,30',8',7',California,fiberglass,monohull,racer,masthead sloop,1.0,good
Avon Rover A3-10,05-Feb-2019,"$2,500", gas outboard,1987,10.2',',',Virginia,other,monohull,dinghy,other,,excellent
Island Packet IPY 445 Center Cockpit,05-Feb-2019,"$299,900",1 diesel inboard,2006,44.5',14.33',5.00',Outside United States,fiberglass,monohull,cruiser,cutter,2.0,excellent
Endeavour Center Cockpit,05-Feb-2019,"$65,500",1 diesel inboard,1984,40',13',5',Nevada,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Macgregor Venture of Newport 23,04-Feb-2019,"$6,000", gas outboard,1976,23',8',5',Outside United States,fiberglass,monohull,daysailer,cutter,1.0,
Casey Yacht Enterprises Carrera 290,04-Feb-2019,"$23,750",2 gas outboard,2001,29',9.5',5.9',Indiana,fiberglass,monohull,racer,fractional sloop,1.0,excellent
Paceship Chance 32/28,03-Feb-2019,"$8,500",1 diesel inboard,1973,32',10',5'9',Maine,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,good
Custom Sailboat Trailer,05-Jun-2022,"$3,500", gas inboard,2000,25',8',5',Virginia,steel,monohull,racer/cruiser,other,,excellent
Doug Peterson Chaser,05-Jun-2022,"$12,500",1 gas inboard,1976,33',11',6',Rhode Island,fiberglass,monohull,racer/cruiser,masthead sloop,3.0,good
Beneteau Oceanus,04-Jun-2022,"$145,000",1 diesel inboard,1994,44'10',14',5'9',California,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
Cheoy Lee Offshore Ketch,04-Jun-2022,"$14,500",1 diesel inboard,1971,33',10',4',Maine,fiberglass,monohull,cruiser,ketch,,good
MacGregor 26M,05-Jun-2022,"$22,500",1 gas outboard,2006,26',8'',2'',Virginia,fiberglass,monohull,motorsailer,,1.0,excellent
Kelsall 34,04-Jun-2022,"$1,500",0 gas outboard,1978,34',22',1',Florida,fiberglass,catamaran,racer/cruiser,fractional sloop,2.0,project boat
Hobie Cat Bravo,05-Jun-2022,"$3,700",,2018,12',4.5',.9',Minnesota,composite,catamaran,dinghy,cat boat,,excellent
Hunter Hunter 36 Vision,04-Jun-2022,"$42,000",1 diesel inboard,1992,36',12',6',Outside United States,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Hake Marine Fox 19,05-Jun-2022,"$6,500",1 gas outboard,1996,19.75',8',1.75',Maine,fiberglass,monohull,daysailer,cat boat,1.0,good
Com-Pac Picnic Cat,04-Jun-2022,"$4,200",,1999,14',6'6',',Wisconsin,fiberglass,monohull,daysailer,cat boat,,good
Catalina 270 LE,03-Jun-2022,"$28,000",1 diesel inboard,1994,27',8',3.5',Tennessee,fiberglass,monohull,motorsailer,,1.0,good
Ericson Ericson 27,04-Jun-2022,"$7,500",1 gas outboard,1971,27',9',3'11',California,fiberglass,monohull,cruiser,masthead sloop,1.0,fair
Cape Dory 22D,03-Jun-2022,"$9,900",1 diesel inboard,1983,22',7.3',3',Texas,fiberglass,monohull,cruiser,masthead sloop,0.0,
Colvin Gazelle 51,03-Jun-2022,"$119,900",1 diesel inboard,1976,65',14',5.25',Texas,aluminum,monohull,other,schooner,2.0,excellent
laser laser 14,03-Jun-2022,"$2,000",,1988,14',',',Washington,fiberglass,monohull,cruiser,,,excellent
Laser Performance UK Laser,03-Jun-2022,"$3,900",,2010,14',5',2',Pennsylvania,fiberglass,monohull,dinghy,cat boat,,excellent
I420 Nautivela,03-Jun-2022,"$10,000",,,',',',Massachusetts,fiberglass,monohull,dinghy,,,excellent
Club 420 PS2000,03-Jun-2022,"$7,000",,,',',',Massachusetts,fiberglass,monohull,dinghy,,,excellent
Allied Princess,03-Jun-2022,"$19,500",1 diesel inboard,1977,36',11',4'6',Michigan,fiberglass,monohull,cruiser,ketch,1.0,
Catalina 310,03-Jun-2022,"$58,400",1 diesel inboard,2003,31',11.5',4.3',Texas,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Whitby Yachts 45,03-Jun-2022,"$42,000",1 diesel inboard,1987,45',12',6',Maryland,fiberglass,monohull,cruiser,,1.0,
LaserPerformance Laser Radial,03-Jun-2022,"$6,000",,2016,',',',New Jersey,fiberglass,monohull,dinghy,,,excellent
J Boats J24,04-Jun-2022,"$6,500",1 gas outboard,1983,24',8.9',4.0',Colorado,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,good
Bristol 35.5,03-Jun-2022,"$29,500", diesel inboard,1980,35',12',5',Rhode Island,fiberglass,monohull,cruiser,masthead sloop,,good
Caliber 40 LRC,04-Jun-2022,"$110,000",1 diesel inboard,1995,40',12' 8',5'1',Florida,fiberglass,monohull,cruiser,cutter,2.0,fair
HMS Marine West Wight Potter 15,02-Jun-2022,"$3,100",,1978,15',',',California,fiberglass,monohull,daysailer,fractional sloop,,good
Beneteau 42S7,02-Jun-2022,"$119,900",1 diesel inboard,1995,42',',',Florida,fiberglass,monohull,racer/cruiser,,3.0,good
Douglas 32,02-Jun-2022,"$27,428",,1984,32',9',4',Outside United States,fiberglass,monohull,cruiser,,,
Vanguard Club 420,02-Jun-2022,"$1,400", gas inboard,2006,14',',',Minnesota,fiberglass,monohull,daysailer,,,good
JY 15,02-Jun-2022,"$2,200",,,15',',',Connecticut,fiberglass,monohull,daysailer,,,excellent
Cal 33,02-Jun-2022,"$29,500",1 diesel inboard,1985,33',11'3',6'2',Maryland,fiberglass,monohull,cruiser,,1.0,
CustomFlex Interlake,02-Jun-2022,$600,,,18',',',Ohio,fiberglass,monohull,daysailer,fractional sloop,,good
Com-Pac 27/2,02-Jun-2022,"$19,500",1 diesel inboard,1989,27',9.5',3.5',Maryland,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Catalina MKII,02-Jun-2022,"$84,000",1 diesel inboard,2001,36',11.92',4.43',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Hughes Northstar 80/20,01-Jun-2022,"$82,500",1 diesel inboard,1972,40',13',5',Outside United States,fiberglass,monohull,cruiser,ketch,3.0,excellent
Passport 40,01-Jun-2022,"$60,000",2 diesel inboard,1981,40',12',6',,fiberglass,monohull,cruiser,cutter,2.0,good
Santana 525,01-Jun-2022,"$5,800",,1984,25',10',5',Oregon,fiberglass,monohull,racer/cruiser,other,1.0,excellent
American Fiberglass Corporation King Fisher,01-Jun-2022,$800,1 gas outboard,74,12',4.5',1',Ohio,fiberglass,monohull,daysailer,,,project boat
Bauteck Marine Bauer 10,01-Jun-2022,"$2,300",,2008,10',4.8',0.5',Connecticut,fiberglass,monohull,dinghy,other,,excellent
Hunter ,01-Jun-2022,"$73,500",1 diesel inboard,2009,33.5',11.5',4.5',California,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
Beneteau Oceanis 473,19-Jul-2022,"$175,000",1 diesel inboard,2005,48',15.5',5.5',New Jersey,fiberglass,monohull,cruiser,cutter,3.0,excellent
Hunter 320,02-Jun-2022,"$49,999",1 diesel inboard,2001,32',11',4.7',Florida,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
Island Packet 27,01-Jun-2022,"$25,000",1 diesel inboard,1984,27',10.5',3.7',New York,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Beneteau Moorings 39,01-Jun-2022,"$40,000",1 diesel inboard,1983,40.16',12.83',5.42',Virginia,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Watkins ,02-Jun-2022,"$17,950",1 diesel inboard,1978,27',10',3.5',New York,fiberglass,monohull,cruiser,,,good
Flying Scot 4984,01-Jun-2022,"$9,700",,1995,19',6'9',9',Maine,fiberglass,monohull,racer,,,excellent
American American 18,01-Jun-2022,"$5,500",1 gas outboard,2008,18',5',4',Iowa,fiberglass,monohull,daysailer,fractional sloop,0.0,good
Hunter 280,02-Jun-2022,"$22,500", diesel inboard,1996,28',9.6',5.0',Missouri,fiberglass,monohull,cruiser,fractional sloop,,excellent
Endeavour Yachts Sloop,01-Jun-2022,"$8,500",1 diesel inboard,1977,32',10',4',Maryland,fiberglass,monohull,cruiser,fractional sloop,1.0,good
Mariner Hew Hampshire Pilothouse,01-Jun-2022,"$34,900", diesel inboard,1981,38',11'7',5',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,good
O'Day 272 LE,31-May-2022,"$15,000",1 diesel inboard,1987,27',9',2'11',Connecticut,fiberglass,monohull,daysailer,fractional sloop,,excellent
Force Stiletto 27,31-May-2022,"$7,500",,,27',14',6',New Jersey,wood,monohull,racer/cruiser,,1.0,project boat
Piver AA,31-May-2022,"$29,500",1 gas inboard,,32',18',3',California,wood,trimaran,cruiser,cutter,1.0,good
Sea Sprite 34,31-May-2022,"$29,900",1 diesel inboard,1983,34',10'3',5'',New Jersey,fiberglass,monohull,cruiser,masthead sloop,,good
Marine Concepts Sea Pearl 28 cat-ketch,01-Jun-2022,"$14,998",1 gas inboard,1991,28',8',2',Texas,fiberglass,monohull,other,ketch,1.0,fair
Lenam 420 Race 1 Lenam,31-May-2022,"$6,200", gas inboard,2019,13.9',',',,fiberglass,monohull,dinghy,,,excellent
 Flying Scot  4996,31-May-2022,"$6,300",,1994,19',6.75',.33',New York,fiberglass,monohull,daysailer,,,good
Tartan 34-C,01-Jun-2022,"$13,900",1 diesel inboard,1971,34',9',5',Connecticut,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Pearson Triton,30-May-2022,"$17,500",1 diesel inboard,1963,28.5',8.25',3.92',Massachusetts,fiberglass,monohull,cruiser,fractional sloop,,good
Hardin 45 Ketch,01-Jun-2022,"$57,500",1 diesel inboard,1983,45',13',5',Connecticut,fiberglass,monohull,cruiser,ketch,2.0,fair
Abel 20,31-May-2022,"$2,250",1 gas outboard,1976,20',7.5',2.5',Connecticut,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Grampion sail,30-May-2022,"$4,500",1 gas outboard,1972,26',8'4',4'3',New York,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,good
Hunter Marine 15,30-May-2022,"$6,000",,2011,15',6',1',Massachusetts,fiberglass,monohull,dinghy,masthead sloop,0.0,excellent
Swede  55 Sweed 55,30-May-2022,"$40,000",1 diesel inboard,1978,53'',9.5',6.2',Rhode Island,fiberglass,monohull,racer/cruiser,other,3.0,project boat
Catalina 25 Swing Keel Pop Top Balanced Rudder,31-May-2022,"$20,000",1 gas outboard,1985,25',8',2.5-5',Oklahoma,fiberglass,monohull,daysailer,masthead sloop,2.0,
Precision Boat Works Precision 18,30-May-2022,"$22,000",1 other outboard,2017,18',7',4',Idaho,fiberglass,monohull,cruiser,fractional sloop,1.0,
S2  Yachts Holland MI S2 9.1 meter,30-May-2022,"$15,000",1 diesel inboard,1984,2910',106',56',Oregon,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,good
Herreshoff America,30-May-2022,"$8,000",1 gas outboard,1974,18.5',8',1.5',Massachusetts,fiberglass,monohull,cruiser,cat boat,1.0,good
Columbia MK II 26,30-May-2022,"$6,500",1 gas outboard,1975,25.58',8.5',4.33',Maryland,fiberglass,monohull,cruiser,,1.0,good
Tartan 37,14-Jun-2022,"$35,000",1 diesel inboard,1977,37',11',4',Florida,fiberglass,monohull,cruiser,fractional sloop,1.0,good
Passport 40,29-May-2022,"$148,000",1 diesel inboard,1983,"39'7""'","12'7""'","5'7""'",Florida,fiberglass,monohull,cruiser,cutter,2.0,excellent
Jensen cal 29,29-May-2022,"$15,900", gas outboard,1970,29',8',4',California,fiberglass,monohull,cruiser,,,excellent
Catalina 27,29-May-2022,"$16,900",1 gas outboard,1984,27',8.83',4',Arkansas,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Freedom Yachts Freedom 25,25-Mar-2018,"$12,000",1 diesel inboard,1983,25'8',8'6',4'5',Michigan,fiberglass,monohull,cruiser,cat boat,2.0,
AMF Sunfish,24-Mar-2018,$850, gas inboard,1969,14',5',',New Jersey,fiberglass,monohull,daysailer,,,good
American Mariner 25,23-Mar-2018,"$5,999",1 gas outboard,1974,25',8',2',Iowa,fiberglass,monohull,cruiser,,1.0,fair
