Model,posted_at,Asking,Engine: ,Year,Length,Beam,Draft,Location,Material,Hull,Type,Rigging,Cabins,Condition
custom Tahiti Ketch,08-Dec-2019,"$17,500",1 diesel inboard,1964,30',10',5',California,wood,monohull,cruiser,ketch,2.0,good
Tayana 55,08-Dec-2019,"$289,000",1 diesel inboard,1998,55',16',5',Florida,fiberglass,monohull,cruiser,cutter,3.0,good
Robertson Bros Farr 38,07-Dec-2019,"$12,400",0 gas outboard,1977,38',13',6.75',California,wood,monohull,racer,fractional sloop,1.0,good
Bayfield 25,06-Dec-2019,"$6,500",1 gas outboard,1976,25',',2'9',Florida,fiberglass,monohull,cruiser,,,excellent
vanguard laser,06-Dec-2019,"$4,900", gas inboard,2005,17',',',Virginia,fiberglass,monohull,daysailer,other,,excellent
Jeanneau Melody,06-Dec-2019,"$37,900",1 diesel inboard,1977,34',11'1',6'6',Washington,fiberglass,monohull,cruiser,,,excellent
Yorktown ,05-Dec-2019,"$9,500",1 diesel inboard,1977,33',',',California,fiberglass,monohull,motorsailer,,,fair
Cape Cod Bullseye,05-Dec-2019,"$9,000", gas inboard,1959,16',5'10',2'5',Florida,fiberglass,monohull,daysailer,,,
Offshore Yachts 33 Cat-Ketch,05-Dec-2019,"$24,000",1 diesel inboard,1985,33',11',4',North Carolina,fiberglass,monohull,cruiser,ketch,2.0,excellent
Jeanneau 44 DS,04-Dec-2019,"$229,000",1 diesel inboard,2013,44',13',5',Florida,fiberglass,monohull,racer/cruiser,fractional sloop,2.0,excellent
Whitby Whitby 42 Ketch,03-Dec-2019,"$60,000",1 diesel inboard,1982,42',',',Outside United States,fiberglass,monohull,cruiser,ketch,2.0,excellent
Sabre 28,02-Dec-2019,"$4,900",,1974,28',9.17',4.33',Michigan,,monohull,,,,project boat
Coronado sloop 35,02-Dec-2019,"$21,000",1 diesel inboard,1976,35',11',6',,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Arch Davis Design Sand Dollar,01-Dec-2019,"$5,500",,2001,11',3'8',.5',Virginia,wood,monohull,dinghy,cat boat,,excellent
Catalina Catalina 25 Swing Keel,30-Nov-2019,"$7,900",1 gas outboard,1986,25',8',3',Florida,fiberglass,monohull,daysailer,,1.0,good
Chesapeake Light Craft Passagemaker Dingy,30-Nov-2019,"$4,500",0 other outboard,2017,11'7',4'8',2',Connecticut,wood,monohull,daysailer,fractional sloop,0.0,excellent
