,Model,Length: ,    Beam:,    Draft:,Year: ,Type: ,Hull: ,Location: ,Asking: ,posted_at,Engine: 
675,Jeanneau Jeanneau 53,53',15.7',5.11',2011,cruiser,fiberglass  monohull,"Annapolis, Maryland","$495,000",30-Sep-2013,1 diesel inboard
695,Capri Day Sailer,14.2',,,1995,daysailer,fiberglass  monohull,"Richmond, Virginia","$2,500",30-Sep-2013, gas inboard
715,Columbia 32,32',9.5',5',2005,racer,fiberglass  monohull,,"$65,000",30-Sep-2013,1 diesel inboard
733,O'Day ,28',11',4. 5',1980,cruiser,fiberglass  monohull,"Kittery, Maine","$17,500",29-Sep-2013, diesel inboard
753,MAXI 95,32',10.58',4.80',1976,motorsailer,fiberglass  monohull,"Malta, Outside United States","$25,000",29-Sep-2013,1 diesel inboard
773,Great Midwest Thistle,17',,,1988,dinghy,fiberglass  monohull,"Cooperstown, New York","$7,100",28-Sep-2013,0 gas inboard
793,C&C Encounter,26',10',3'8',1979,cruiser,fiberglass  monohull,"South Holland, Michigan","$9,500",25-Sep-2013,1 diesel inboard
813,CS Yachts Traditional,36',,,1984,cruiser,fiberglass  monohull,,"$69,500",25-Sep-2013, diesel inboard
831,Ouyang Aloha,27',10',5',1969,cruiser,fiberglass  monohull,,"$8,000",25-Sep-2013, diesel inboard
849,Beneteau First 305,30.5',10.5',5.5',1985,,fiberglass  monohull,"Coconut Grove Miami, Florida","$21,800",25-Sep-2013,1 diesel inboard
867,MacGregor 26 feet,26',,,1991,cruiser,fiberglass  monohull,,"$8,500",23-Sep-2013, gas outboard
885,bayfield bayfiled25,25',,,,cruiser,fiberglass  monohull,,"$2,000",23-Sep-2013, diesel inboard
901,Hunter 45 Deck Salon,45',,5',2009,cruiser,fiberglass  monohull,"Bay Shore, New York","$219,000",22-Sep-2013,1 diesel inboard
921,Hunter DS,41',,,2008,cruiser,fiberglass  monohull,"Bay Shore, New York","$175,000",21-Sep-2013, diesel inboard
941,Luger Leeward,16',75',,1974,daysailer,fiberglass  monohull,"Enola, Pennsylvania","$1,000",19-Sep-2013,
959,Grampian 30,30',10',4.5',1970,cruiser,fiberglass  monohull,"Kingston, New York","$11,000",19-Sep-2013,1 diesel inboard
979, J24,24',,,,racer,fiberglass  monohull,,"$6,000",19-Sep-2013, gas inboard
995,Catalina 16.5,17.2',7',4.5',2013,daysailer,fiberglass  monohull,"Irvine, California","$10,500",19-Sep-2013,
1013,Macgregor 26,25',8',3',1984,daysailer,fiberglass  monohull,"pensacola, Florida","$7,000",19-Sep-2013,1 gas outboard
1033,Customflex Flying Scot,19',6'9',4',1967,daysailer,fiberglass  monohull,"Red Lion, Pennsylvania","$3,000",19-Sep-2013,
1051,Hunter 170,17',6',,2007,daysailer,fiberglass  monohull,"Camano Island, Washington","$2,850",18-Sep-2013,0 gas inboard
1071,Seidelmann 299,29.9',11',5.5',1986,,fiberglass  monohull,"Long Beach, California","$13,500",18-Sep-2013,1 gas inboard
1089,Sovereign 5.0,17',8',2.5',1981,cruiser,fiberglass  monohull,"Annapolis, Maryland","$5,000",17-Sep-2013,1 gas outboard
1109,C&C 36 Centerboard sloop,35.9',11.6',4',1980,,fiberglass  monohull,"Stamford, Connecticut","$26,000",17-Sep-2013,1 diesel inboard
1127,Hunter 212,21',8',2',2000,daysailer,composite  monohull,"Worcester, Massachusetts","$3,300",17-Sep-2013,
1145,Irwin 32.5,32.5',10',4',1973,cruiser,fiberglass  monohull,"Lake Travis, Texas","$25,500",17-Sep-2013,1 diesel inboard
1165,sparkman stephans Yankee,30',9',5',1972,cruiser,fiberglass  monohull,"Charleston, South Carolina","$12,000",16-Sep-2013,1 diesel inboard
1185,Hunter Cherubini,25',7.8',3.4',1978,cruiser,fiberglass  monohull,"Forked River, New Jersey","$3,900",16-Sep-2013,1 gas outboard
1205,Made by owner sailboat,40',,,,cruiser,fiberglass  monohull,"Canada Quebec, Outside United States","$7,500",16-Sep-2013, other inboard
1223,Tillotson-Pearson J-24,24',9',4',1980,racercruiser,fiberglass  monohull,"Ft Walton Beach, North Carolina","$13,000",16-Sep-2013,1 gas outboard
1243,Catalina 30,30',11',5',1979,,fiberglass  monohull,,"$12,500",16-Sep-2013,1 gas inboard
1259,Beneteau Oceanis 411,41'7',13'',5'7',2001,cruiser,fiberglass  monohull,"Bayfield, Wisconsin","$142,500",15-Sep-2013,1 diesel inboard
1279,Saber 28,28',,,1977,daysailer,fiberglass  monohull,"South Dartmouth, Massachusetts","$9,000",15-Sep-2013,1 gas inboard
1299,Catalina Swing Keel 22,22',,,1986,cruiser,fiberglass  monohull,"Lake Waccamaw, North Carolina","$5,200",15-Sep-2013,1 gas outboard
1319,Wellcraft Starwind,19',,,1985,cruiser,fiberglass  monohull,"Essex, Connecticut","$1,400",15-Sep-2013,1 gas outboard
1339,HUNTER 25-1983,25',8'',3.9'',1983,cruiser,fiberglass  monohull,"Bridgeport, Connecticut","$4,500",13-Sep-2013,1 gas outboard
1359,Vanguard Laser,',,,2002,dinghy,fiberglass  monohull,"Old Saybrook, Connecticut","$3,000",12-Sep-2013, gas inboard
1379,Renken ,18'',6.33'',2'',1983,cruiser,fiberglass  monohull,"Milwauke, Wisconsin","$5,500",11-Sep-2013,1 gas outboard
1399,C&C ,24',,,1980,,fiberglass  monohull,"BAYSIDE, New York","$5,000",11-Sep-2013,1 gas outboard
1417,C&C 35-3,34' 8',11' 3',6' 5',1985,cruiser,fiberglass  monohull,"Chicago, Illinois","$49,900",11-Sep-2013,1 diesel inboard
1437,Hunter 306,30',,,2003,cruiser,fiberglass  monohull,"Newburyport, Massachusetts","$42,000",11-Sep-2013,1 gas inboard
1457,Homemade Glen-L 11,11',5',2',2012,daysailer,fiberglass  monohull,"Cincinnati, Ohio","$2,000",10-Sep-2013,1 other outboard
1477,catalina mk2,36',11'11',5'10',1996,cruiser,fiberglass  monohull,"hot springs, Arkansas","$59,500",09-Sep-2013,1 diesel inboard
1497,Spirit sloop,28',9',5',1981,cruiser,fiberglass  monohull,"Barrington, Rhode Island","$15,000",09-Sep-2013, diesel inboard
0,Pearson P26,26',,4',1982,cruiser,fiberglass  monohull,"Burlington, Vermont","$7,000",03-May-2022, gas outboard
21,Catalina 27' sailboat,27',9',4',1983,daysailer,fiberglass  monohull,"Roosevelt Lake near Phoenix, Arizona","$6,500",04-May-2022,1 diesel inboard
41,Jongert Trewes Steel Custom Ketch,52',15',6',1972,cruiser,steel  monohull,"Greece, Outside United States","$148,000",03-May-2022,1 diesel inboard
61,Catalina 34,34',11.9',3-10',1988,cruiser,fiberglass  monohull,"Naples, Florida","$42,500",04-May-2022, diesel inboard
81,Catalina Mark 1  tall rig fin keel,36.5',11.9',5.10',1987,cruiser,fiberglass  monohull,"Luperon  Dominican republic, Outside United States","$19,900",04-May-2022,1 diesel inboard
101,MacGregor Newport Venture,23',7.17',5.50',1976,daysailer,fiberglass  monohull,"Decatur, Georgia","$7,000",04-May-2022,1 gas outboard
121,Contest 36s,36',11'8',6'3',1985,racer/cruiser,fiberglass  monohull,"Schooner Cove Stamford, Connecticut","$55,000",04-May-2022,1 diesel inboard
141,Koopmans Explorer,46',13'2'',,2008,cruiser,fiberglass  monohull,"Palm Beach Gardens, Florida","$350,000",03-May-2022,2 diesel inboard
161,Cape Dory cd30,30',9.5',4.25',78,cruiser,fiberglass  monohull,"Titusville Fl, Florida","$19,000",03-May-2022, diesel inboard
181,Island Packet 349,38',12.5',4',2021,cruiser,fiberglass  monohull,"St Petersburg, Florida","$399,000",19-May-2022,1 diesel inboard
201,HUNTER 28.5,28',10.5',4',1988,cruiser,fiberglass  monohull,"Louisville, Kentucky","$13,000",02-May-2022,1 diesel inboard
221,Jeanneau Sun Kiss 47,47',13.5',6.5',1990,cruiser,fiberglass  monohull,"Saint Martin caraibi, Outside United States","$90,000",02-May-2022,1 diesel inboard
241,Ta Yang Tayana 37',37',11',,1978,cruiser,fiberglass  monohull,"Seattle, Washington","$14,999",02-May-2022, diesel inboard
261,O'Day 222,22',8',1.5',1985,daysailer,fiberglass  monohull,"Clinton, Connecticut","$5,500",09-May-2022,1 gas outboard
281,Gulfstar Aft cockpit,37',11.93',4.9',1978,cruiser,fiberglass  monohull,"Ft Pierce, Florida","$34,000",02-May-2022,1 diesel inboard
301,Com-Pac Sun Cat,17',7',1',2006,daysailer,fiberglass  monohull,"Clearwater, Florida","$19,400",02-May-2022,
319,Pearson 10 Meter,33',11',5.9',1974,racer/cruiser,fiberglass  monohull,"Playboy Marine Dania, Florida","$8,500",03-May-2022,1 diesel inboard
339,Southern Cross 31,31',9.5',4.6',1975,cruiser,fiberglass  monohull,"Groton, Connecticut","$24,900",02-May-2022,1 diesel inboard
359,Peterson NY 40 Ny40 one design,40',13',6.8',1979,racer/cruiser,fiberglass  monohull,"Stockton Springs, Maine","$42,000",02-May-2022,1 diesel inboard
379,Luscher Looping 55,55.45',26.9',3.94',2010,cruiser,composite  catamaran,"UAE Dubai, Outside United States","$499,000",02-May-2022,2 diesel inboard
399,Bosgraaf 15m offshore Trimaran,50',38.4',2.3',1998,cruiser,composite  trimaran,"Punta del Este Uruguay, Outside United States","$400,000",02-May-2022,1 diesel inboard
419,Freya 39,39',113',6',1980,racer/cruiser,fiberglass  monohull,"Puerto Peasco Mexico, Outside United States","$49,000",02-May-2022,1 diesel inboard
439,Colvin Gazelle  Junk-Rigged,42',12',4',1990,cruiser,steel  monohull,"salt spring island, Outside United States","$19,500",01-May-2022,1 diesel inboard
459,Johnstone Boats J-36,36',11.76',6.6',1981,racer/cruiser,fiberglass  monohull,"Gig Harbor, Washington","$14,200",02-May-2022,1 diesel inboard
479,Ensenada 20,20',,,1972,cruiser,fiberglass  monohull,"Utah, Utah","$3,300",01-May-2022, gas inboard
499,Catalina 34 Mk.1.5,34.5',11.9',4.2',1991,cruiser,fiberglass  monohull,"Lighthouse Point, Florida","$39,500",02-May-2022,1 diesel inboard
519,Beneteau Oceanis 400 Tri cabin,40',12'8',5'6',1996,cruiser,fiberglass  monohull,"Miami, Florida","$62,900",01-May-2022, diesel inboard
539,S2 7.9,27',8',5',1982,racer/cruiser,fiberglass  monohull,"Mayfield Yatch Club Mayfield NY, New York","$8,500",02-May-2022,1 gas outboard
559,O'day Mariner,19.6',,,1971,daysailer,fiberglass  monohull,"Staten Island, New York","$3,500",01-May-2022,1 gas outboard
579,Hans Christian 38t,38',,,1979,,fiberglass  monohull,"Green Cove Springs, Florida","$127,900",30-Apr-2022,
595,Corsair F28 AC,28.5',19.9',1.2',1999,cruiser,fiberglass  trimaran,"Aarhus Denmark, Outside United States","$50,000",30-Apr-2022,2 other outboard
615,Morgan 321,32',11'5',4'3',1982,cruiser,fiberglass  monohull,"Forked River, New Jersey","$29,900",29-Apr-2022,1 gas inboard
635,Morgan 382,38'4',12',5'6',1981,cruiser,fiberglass  monohull,"Annapolis, Maryland","$32,000",29-Apr-2022,1 diesel inboard
655,Kelt 9.0,30',10.2',3.6',1985,cruiser,fiberglass  monohull,"Mayo, Maryland","$9,900",30-Apr-2022,1 diesel inboard
675,Tayana 37,37',11.5',5.75',1978,cruiser,fiberglass  monohull,"Mazatlan Mexico, ","$68,000",29-Apr-2022,1 diesel inboard
695,Catalina 27 Standard Inboard Diesel,27',8.9',4',1981,cruiser,fiberglass  monohull,"Mayo, Maryland","$6,500",29-Apr-2022,1 diesel inboard
715,Hobie 33,33',8',6',1984,racer,fiberglass  monohull,"Oceanside, California","$15,000",29-Apr-2022,1 gas outboard
735,Swallow Yacht Bay Raider 20,20',8',1',2015,daysailer,fiberglass  monohull,"San Diego, California","$25,000",29-Apr-2022,1 other outboard
755,CALIBER ,33',11'4'',4'6'',1986,cruiser,fiberglass  monohull,"Deltaville, Virginia","$29,900",06-Jul-2022,1 diesel inboard
776,Whiting 40,40',10.5',5.7',1990,cruiser,fiberglass  monohull,"Gulf Harbour Marina, Outside United States","$84,364",28-Apr-2022,1 diesel inboard
796,Sabre MK1,34',10',4',1979,cruiser,fiberglass  monohull,"Norwalk, Connecticut","$24,000",29-Apr-2022,1 gas inboard
816,Cape Dory 30,30',9',4'2',1982,cruiser,fiberglass  monohull,"Garrison, North Dakota","$27,000",28-Apr-2022,1 gas inboard
836,Bangor Punta O'Day 30,30',11',4.5',1980,cruiser,fiberglass  monohull,"Kings Park, New York","$2,000",29-Apr-2022,1 diesel inboard
868,Catalina Catalina 38,38',11.10',6.9',1980,racer/cruiser,fiberglass  monohull,"Northport, New York","$25,500",14-Jul-2022,1 diesel inboard
889,GulfStar SailMaster,41',12',6',1975,cruiser,fiberglass  monohull,"Grenada, Outside United States","$67,900",28-Apr-2022,1 diesel inboard
909,Beneteau 305,30.5',10.5',5.5',1986,cruiser,fiberglass  monohull,"Mayo, Maryland","$14,900",29-Apr-2022,1 diesel inboard
929,Catalina 34,34.5',11.75',5.58',1987,cruiser,fiberglass  monohull,"Mayo, Maryland","$19,900",29-Apr-2022,1 diesel inboard
949,Hunter Marine 23,23',8',2.3',1987,cruiser,fiberglass  monohull,"Scotts Marina Grapevine Lake, Texas","$5,000",29-Apr-2022,1 gas outboard
969,General Boat Rhodes 22,22',8',4',1986,daysailer,fiberglass  monohull,"Grayson or Morehead, Kentucky","$6,500",28-Apr-2022,1 gas outboard
989,Dufour Catamarans 48,48',26',4',2022,cruiser,fiberglass  catamaran,"South of France, Outside United States","$999,000",28-Apr-2022,2 diesel inboard
1009,CAL 29,29',9',5',1979,cruiser,fiberglass  monohull,"Sandusky, Ohio","$12,000",27-Apr-2022,1 gas inboard
1029,j boats J 30,30',11.18',5.25',1981,racer/cruiser,fiberglass  monohull,"Westport, Connecticut","$18,000",28-Apr-2022,1 diesel inboard
1049,Marlow-Hunter 40,40',13.2',5.2',2016,racer/cruiser,fiberglass  monohull,"Apollo Beach, Florida","$238,000",27-Apr-2022,1 diesel inboard
1069,Allied Princess MKII features,36',11',4.5',1979,cruiser,fiberglass  monohull,"Wickford, Rhode Island","$79,500",10-Jul-2022,1 diesel inboard
1090,Robert Ives Hirondelle MK II 1977,23',10',1.5',1977,racer/cruiser,fiberglass  catamaran,,"$13,110",28-Apr-2022,1 gas outboard
1108,MacGregor 26D,26',7'11',5'4',1990,cruiser,fiberglass  monohull,"Lake Lanier NE of Atlanta, Georgia","$8,350",27-Apr-2022, gas outboard
1128,Hunter 426DS,42',14.5',5',2003,cruiser,fiberglass  monohull,"Islamorada, Florida","$49,900",28-Apr-2022,1 diesel inboard
1148,McLaughlin Opti Pro,',,,,dinghy,fiberglass  monohull,"Lake Forest, Illinois","$3,100",28-Apr-2022, gas inboard
1166,Beneteau Oceanis41,41',13.5',6',2013,cruiser,fiberglass  monohull,"BVI, Outside United States","$59,000",27-Apr-2022,1 diesel inboard
1186,Lagoon 500,50',28',4'7',2009,cruiser,fiberglass  catamaran,"Belize City, Outside United States","$499,999",28-Apr-2022,2 diesel inboard
1206,Gulfstar 44 Mark II,44.8',13.2',5.6',1985,cruiser,fiberglass  monohull,"St Martin, ","$75,000",27-Apr-2022,1 gas inboard
1226,Beneteau Oceanis,37',12'10',4'7',2013,cruiser,fiberglass  monohull,"Lake Lanier NE of Atlanta, Georgia","$129,000",27-Apr-2022, diesel inboard
1246,Catalina catalina 30,30',10.83',5.25',1986,daysailer,fiberglass  monohull,"Edgewater Marina, Ohio","$17,900",27-Apr-2022,1 diesel inboard
1266,O'Day Ranger,23',,,1976,daysailer,fiberglass  monohull,"Westbrook, Connecticut","$3,500",27-Apr-2022,1 gas outboard
1286,Fulcrum Speedworks Rocket,14-2',4-4',2-9',2021,dinghy,fiberglass  monohull,"Mechanicsbueg, Pennsylvania","$5,800",27-Apr-2022, gas inboard
1306,Mirage 35,35',11.5',5',1987,cruiser,fiberglass  monohull,"Midland Ontario, Outside United States","$36,000",27-Apr-2022,1 diesel inboard
1326,Nowak & Williams  Herreshoff Eagle,22',,,1975,daysailer,fiberglass  monohull,"Westbrook, Connecticut","$15,000",27-Apr-2022,1 other outboard
1346,Lagoon 380,38',21.4',3.77',2001,cruiser,fiberglass  catamaran,"Aruba, Outside United States","$229,000",27-Apr-2022,2 diesel inboard
1366,Martin 32,32',9',,1981,cruiser,fiberglass  monohull,"Vancouver British Columbia Canada, Outside United States","$27,330",26-Apr-2022,
1384,Tartan T-10,33',9',510',1981,racer/cruiser,fiberglass  monohull,"NorthEast Yacht Club, Ohio","$9,900",26-Apr-2022,1 diesel inboard
1420,Lagoon 560,56',31',5',2013,cruiser,fiberglass  catamaran,"St Thomas USVIs, Outside United States","$995,000",27-Apr-2022,2 diesel inboard
1440,Cal 40,39.5',11',5.6',1971,racer/cruiser,fiberglass  monohull,"Pensacola, Florida","$22,000",26-Apr-2022,1 diesel inboard
1460,Catalina 34 MK1 Tall Rig Shallow Draft,34',12'2',4'8',1988,cruiser,fiberglass  monohull,"Brooklyn, New York","$37,500",26-Apr-2022,1 diesel inboard
1480,Hunter H26,26',9',1.5-6',1994,daysailer,fiberglass  monohull,"Barnesville, Ohio","$15,000",26-Apr-2022,1 gas outboard
1500,Catalina 350,35',13',4'6',2006,cruiser,fiberglass  monohull,"Marion, Massachusetts","$110,000",05-Jul-2022,1 diesel inboard
1521,Transworld Island Trader41 ketch,41',12',6',1978,cruiser,fiberglass  monohull,"Indiantown, Florida","$38,000",26-Apr-2022,1 diesel inboard
1541,Ranger ,33',9.58',5',1971,racer/cruiser,fiberglass  monohull,"Oak Point, Texas","$16,000",27-Apr-2022,1 gas inboard
0,O'Day 272,27',9',2'11',1987,cruiser,fiberglass  monohull,"Westfield Barcelona Harbor, New York","$11,900",10-Aug-2012, gas outboard
21,Tartan 30,30',10',5.5',1974,cruiser,fiberglass  monohull,"Ithaca, New York","$16,000",10-Aug-2012,1 gas inboard
41,Hunter 31,31',11',5.3',1984,racercruiser,fiberglass  monohull,"verow Beach, Florida","$19,900",09-Aug-2012,1 diesel inboard
61,Catalina 22,21'-6',7'-8',2'5'',1982,daysailer,fiberglass  monohull,"Hull, Massachusetts","$5,000",08-Aug-2012,1 gas outboard
81,fisher fisher 30,27.6',9.3',5.1',74,motorsailer,fiberglass  monohull,"haines, Alaska","$65,000",08-Aug-2012,1 diesel inboard
101,O'Day oday sail boat,19',,,1976,daysailer,fiberglass  monohull,"lake george, New York","$2,500",08-Aug-2012,1 gas outboard
121,o'day ,27',9',4',1977,daysailer,fiberglass  monohull,,"$5,000",07-Aug-2012,1 diesel inboard
139,Hunter JY15,15',7',3',2000,,fiberglass  monohull,"Saugatuck yacht club Saugatuck mi, Michigan","$2,500",07-Aug-2012, gas inboard
157,Irwin Citation,34.2',11.2',4.6',1981,cruiser,fiberglass  monohull,"Ft Meyers, Florida","$17,900",06-Aug-2012,1 diesel inboard
177,C&C 29,29',10' 5',5' 3',1977,,fiberglass  monohull,"Tiverton, Rhode Island","$8,900",06-Aug-2012,1 gas inboard
195,C&C Niagara,24',8.9',4',1976,cruiser,fiberglass  monohull,"Plattsburgh NY, New York","$6,500",05-Aug-2012,1 gas outboard
215,Beneteau Oceanis 40CC,40',12.9',5.6',2000,cruiser,fiberglass  monohull,"St Thomas, Outside United States","$120,000",05-Aug-2012,0 diesel inboard
235,Tanzer 22,22',,,1988,cruiser,fiberglass  monohull,"Willsboro, New York","$5,000",05-Aug-2012, gas outboard
255,Hunter 41,41',13'3',4'11',2005,cruiser,fiberglass  monohull,"Charleston, South Carolina","$185,500",05-Aug-2012,1 diesel inboard
275,Pearson 31-2,31',11',5'9',1988,cruiser,fiberglass  monohull,"Clinton CT, Connecticut","$34,900",03-Aug-2012,1 diesel inboard
295,O'Day Oday 322,32'2',10'8',4 2',1988,cruiser,fiberglass  monohull,"Cheboygan, Michigan","$39,000",03-Aug-2012,1 diesel inboard
315,Chris Craft Apache,37',,5'9',1968,cruiser,fiberglass  monohull,"Clinton, Connecticut","$8,500",03-Aug-2012,1 diesel inboard
335,C&C Mark 1,35',,,1973,,fiberglass  monohull,"Puerto Rico Fajardo, ","$25,000",02-Aug-2012,1 diesel inboard
353,Tanzer ,22',8',3',1972,daysailer,fiberglass  monohull,"Clifton Park, New York","$4,200",02-Aug-2012,1 gas outboard
373,Irwin 44CC,44',12',"5'5""'",1988,cruiser,fiberglass  monohull,"Luperon Dominican Republic, North Carolina","$75,000",02-Aug-2012,1 diesel inboard
393,Laguna Laguna 30,30',11',4',1984,cruiser,fiberglass  monohull,"Philadelphia, Pennsylvania","$19,999",01-Aug-2012,1 diesel inboard
413,Tanzer Yachts Tanzer 22,22'6',7'10',,1971,cruiser,fiberglass  monohull,"Toronto, Outside United States","$3,200",01-Aug-2012,1 gas outboard
433,Pearson Pearson 30,30',9.5',4.5',1978,cruiser,fiberglass  monohull,"Alpena, Michigan","$13,950",31-Jul-2012,1 gas inboard
453,Hunter 460,46',,,2000,cruiser,fiberglass  monohull,"Cape Haze, Florida","$169,000",31-Jul-2012, diesel inboard
473,Ericson 26-300,26',9',3'11',1988,,fiberglass  monohull,"Beaufort, North Carolina","$10,900",31-Jul-2012,1 diesel inboard
491,Bayliner Buccaneer 220,22',7' 11',4',1980,racer/cruiser,fiberglass  monohull,"Chippewa Falls, Wisconsin","$2,900",30-Jul-2012,
509,Ericson 26-300,26',9',3'11',1988,,fiberglass  monohull,"Beaufort, North Carolina","$10,900",30-Jul-2012,1 diesel inboard
527,Hunter 28.5,28.5',10.6',5.2',1984,motorsailer,fiberglass  monohull,"Stevensville, Maryland","$10,000",30-Jul-2012,1 diesel inboard
547,Hunter Hunter 27,27',9.3',3.6',1992,cruiser,fiberglass  monohull,"Swickley, Pennsylvania","$16,000",30-Jul-2012,1 gas outboard
567,O'Day 27,27',9',4',1976,cruiser,fiberglass  monohull,"Manitowoc, Wisconsin","$11,300",30-Jul-2012,1 gas inboard
587,gulet schooner,52',,,1992,motorsailer,wood  monohull,"marmaris, ","$110,000",29-Jul-2012,1 diesel inboard
607,Hughes 26E,26',9',4.25',1978,cruiser,fiberglass  monohull,"Toronto Canada, Outside United States","$9,000",28-Jul-2012,1 gas inboard
627,pearson Pearson 30,30',"9'6""'",5',1976,racercruiser,fiberglass  monohull,"Port Washington, New York","$7,000",28-Jul-2012, gas inboard
647,MacGregor 26 Macgregor,26',7',,1988,cruiser,fiberglass  monohull,"Ithaca  Marina, New York","$5,500",28-Jul-2012,1 gas outboard
667,WHITBEY  ONTARIO ALBERG 30,30',8.5',,1964,,fiberglass  monohull,"MONTROSE HARBOR  CHICAGO  IL, Illinois","$9,900",27-Jul-2012,1 gas inboard
